,　　　　,汽車客運,市區客運,公路客運,鐵路客運,臺鐵,高鐵,臺北捷運,高雄捷運,桃園機場捷運,新北捷運,水上客運,國內航空
0,109年(1月至10月),-13.97,-13.04,-21.9,-14.63,-14.7,-17.38,-12.71,-27.01,-32.84,4.05,-29.18,-17.87
1,109年 1月,-10.5,-10.87,-7.41,-4.09,-0.37,16.97,-8.31,-0.31,19.39,0.0,2.81,9.46
2,109年 2月,-11.69,-10.57,-20.46,-12.26,-19.76,-26.85,-5.07,-39.18,-14.76,-32.57,-47.96,-48.83
3,109年 3月,-19.03,-17.87,-28.94,-24.22,-25.68,-37.51,-20.66,-40.68,-42.48,-22.92,-47.79,-52.4
4,109年 4月,-27.01,-25.85,-36.76,-33.16,-36.01,-48.09,-28.71,-50.56,-53.82,-31.53,-59.54,-64.86
5,109年 5月,-20.87,-20.03,-28.29,-23.41,-21.55,-32.96,-21.12,-39.95,-47.37,3.73,-54.63,-60.37
6,109年 6月,-11.57,-10.52,-20.51,-14.32,-12.33,-21.01,-12.35,-26.52,-43.15,16.96,-34.12,-32.46
7,109年 7月,-10.42,-9.4,-19.19,-10.44,-8.14,-11.49,-9.16,-20.89,-38.12,0.73,-15.81,10.09
8,109年 8月,-9.4,-8.47,-17.28,-8.03,-5.48,-1.25,-7.89,-14.53,-33.27,5.38,11.14,42.82
9,109年 9月,-5.85,-4.34,-18.8,-5.59,-9.48,-8.97,-1.95,-19.52,-32.38,1.95,-21.12,9.15
10,109年 10月,-12.04,-11.07,-20.46,-10.43,-7.51,-1.33,-10.5,-17.62,-37.84,2.44,-10.74,7.47
